세종특별자치시  (3600000000),"376,399","376,399","3,382","3,526","3,917","4,391","4,738","5,146","5,584","5,465","5,275","5,863","5,530","5,539","5,128","5,237","5,112","4,548","4,095","4,024","3,870","3,509","3,512","3,775","3,538","3,535","3,468","3,605","3,879","4,169","4,332","4,987","5,191","5,085","5,376","5,636","5,811","6,227","6,224","6,494","7,356","8,281","8,632","8,295","8,408","7,281","7,331","6,892","6,911","7,057","7,036","6,398","6,618","6,089","5,551","5,510","4,787","4,525","4,228","4,425","3,675","4,272","4,380","4,405","4,117","3,610","3,530","3,183","3,311","2,993","2,190","2,370","1,836","1,821","1,922","1,708","1,517","1,463","1,062","1,162","1,085","1,375","1,203",951,969,886,778,737,675,620,487,408,325,270,218,168,131,83,42,36,28,33,30
세종특별자치시  (3611000000),"376,399","376,399","3,382","3,526","3,917","4,391","4,738","5,146","5,584","5,465","5,275","5,863","5,530","5,539","5,128","5,237","5,112","4,548","4,095","4,024","3,870","3,509","3,512","3,775","3,538","3,535","3,468","3,605","3,879","4,169","4,332","4,987","5,191","5,085","5,376","5,636","5,811","6,227","6,224","6,494","7,356","8,281","8,632","8,295","8,408","7,281","7,331","6,892","6,911","7,057","7,036","6,398","6,618","6,089","5,551","5,510","4,787","4,525","4,228","4,425","3,675","4,272","4,380","4,405","4,117","3,610","3,530","3,183","3,311","2,993","2,190","2,370","1,836","1,821","1,922","1,708","1,517","1,463","1,062","1,162","1,085","1,375","1,203",951,969,886,778,737,675,620,487,408,325,270,218,168,131,83,42,36,28,33,30
세종특별자치시  조치원읍(3611025000),"43,274","43,274",207,216,238,231,254,290,360,352,338,445,415,457,400,449,435,354,361,433,399,455,526,629,684,695,688,648,677,660,642,662,599,543,476,517,477,540,473,528,547,637,687,658,690,628,656,593,702,687,778,713,786,744,707,721,664,632,648,657,555,662,683,712,648,570,595,566,598,536,423,427,338,366,367,352,299,324,241,247,252,321,280,228,208,223,148,167,123,117,80,68,58,63,45,26,24,15,8,8,3,2,10
세종특별자치시  연기면(3611031000),"2,804","2,804",11,5,8,10,8,8,9,6,12,15,11,8,4,4,9,3,12,20,8,16,22,25,27,24,43,47,43,48,55,59,57,43,35,44,37,43,27,25,36,29,31,37,35,19,31,25,37,32,41,40,49,55,56,45,49,46,49,66,46,60,69,71,70,43,59,54,59,46,41,46,28,31,30,24,29,27,19,22,16,23,28,13,18,21,20,13,16,13,9,9,6,9,4,5,4,2,0,0,0,1,1
세종특별자치시  연동면(3611032000),"3,107","3,107",6,5,11,4,6,10,11,9,9,19,6,13,10,10,7,13,17,8,16,17,19,23,21,25,21,29,38,39,37,33,27,35,21,22,35,26,30,28,22,32,37,28,37,23,33,31,28,29,46,38,36,42,57,47,38,50,40,65,49,74,69,85,84,59,73,69,81,73,53,65,44,50,49,61,35,45,29,36,31,41,40,31,26,41,31,30,31,39,21,24,15,10,14,6,5,4,4,1,1,3,0
세종특별자치시  부강면(3611033000),"6,110","6,110",22,22,29,36,26,37,23,36,33,38,36,38,27,32,35,36,33,35,37,40,50,41,51,60,63,75,93,98,76,98,88,85,70,63,60,57,58,77,62,82,89,65,77,77,83,84,79,74,83,82,92,98,73,115,110,111,97,107,114,119,143,137,117,98,121,110,119,114,72,100,70,42,61,54,81,75,48,54,50,78,64,57,59,48,51,39,36,16,20,21,24,8,7,10,9,4,2,2,0,1,1
세종특별자치시  금남면(3611034000),"8,950","8,950",23,33,25,31,40,25,27,37,43,37,37,37,40,30,47,33,29,35,47,42,58,64,70,88,99,113,109,98,98,118,107,105,102,110,94,74,71,70,70,105,106,94,97,74,96,89,98,121,116,120,122,133,145,154,159,161,184,167,165,193,208,239,217,191,197,177,210,196,124,123,144,133,144,112,91,99,79,87,97,136,119,93,85,61,76,69,60,51,52,43,20,34,21,11,14,5,2,4,4,3,4
세종특별자치시  장군면(3611035000),"7,026","7,026",19,21,23,27,23,25,30,23,22,35,25,20,15,28,26,29,31,34,52,49,67,75,82,78,94,111,116,118,147,119,138,109,98,98,107,78,66,92,84,91,90,112,101,64,85,76,99,95,116,113,137,130,123,134,121,130,107,163,137,128,139,150,140,144,123,108,128,99,70,94,86,79,70,77,52,47,31,63,40,65,42,39,44,52,50,34,36,34,27,23,17,8,8,9,4,1,1,2,1,2,1
세종특별자치시  연서면(3611036000),"7,350","7,350",25,15,25,31,30,28,35,31,33,49,37,47,38,39,40,28,34,42,47,49,37,72,77,81,75,87,99,101,98,116,87,87,73,67,59,64,66,77,54,69,72,80,86,77,93,81,80,92,100,87,133,116,122,122,109,119,98,121,111,144,175,184,167,149,140,141,135,147,100,124,109,99,131,91,80,76,60,76,73,107,84,76,84,76,71,52,60,45,32,28,21,13,15,12,9,4,3,0,4,3,2
세종특별자치시  전의면(3611037000),"5,531","5,531",9,6,14,13,13,21,22,22,26,35,17,40,19,45,36,33,33,40,39,42,53,42,52,56,55,55,63,61,56,61,44,52,34,48,32,49,36,53,55,53,63,49,54,52,56,54,61,97,81,78,87,90,89,104,88,86,115,123,85,123,128,127,142,108,97,95,116,118,70,101,62,67,78,74,65,59,54,67,52,73,68,63,82,61,45,53,51,41,36,24,17,11,9,12,6,8,6,4,3,5,3
세종특별자치시  전동면(3611038000),"3,360","3,360",2,6,4,8,7,7,7,13,7,12,7,12,5,14,10,15,7,17,9,13,12,23,26,24,20,28,31,34,33,35,27,20,16,21,21,25,19,15,29,28,26,35,34,20,32,28,30,34,40,25,50,45,60,76,63,67,67,68,64,96,86,88,107,101,83,79,79,102,70,80,40,59,79,50,56,41,33,41,34,46,51,31,35,35,30,32,32,27,26,20,20,10,7,6,3,5,3,2,1,1,0
세종특별자치시  소정면(3611039000),"2,246","2,246",7,6,5,7,8,10,8,9,5,15,20,16,17,17,18,14,18,21,14,17,19,23,17,30,25,23,22,22,29,20,23,19,18,18,18,14,9,16,24,18,21,19,21,21,33,31,36,36,33,37,39,39,48,44,35,35,44,44,47,50,43,47,45,60,47,36,41,43,30,33,22,26,23,41,25,23,15,26,22,23,19,28,22,22,17,17,14,12,19,6,11,6,6,3,0,0,0,1,0,0,0
세종특별자치시  한솔동(3611051000),"18,537","18,537",135,150,148,174,182,261,287,284,296,345,347,341,372,412,354,358,287,280,273,253,217,223,228,185,152,123,142,132,130,138,153,148,175,186,210,243,259,248,319,348,394,410,417,403,409,426,432,472,465,412,443,417,328,314,247,237,226,215,182,202,158,169,165,132,138,114,115,90,83,85,59,59,68,49,59,51,38,42,34,39,35,24,25,20,17,14,21,20,11,16,7,10,7,5,4,1,1,1,0,1,1
세종특별자치시  새롬동(3611051500),"38,916","38,916",358,400,424,490,593,637,709,660,642,695,681,673,657,636,654,576,514,425,424,379,349,349,317,368,372,383,431,527,528,598,618,597,636,614,717,716,703,710,851,965,"1,027",950,966,887,850,806,811,798,767,717,691,618,570,536,464,401,366,337,311,295,294,330,271,218,228,200,190,175,123,133,90,78,88,74,76,69,49,51,47,42,45,31,35,24,32,25,23,25,16,19,20,14,13,9,7,3,0,1,2,2,0
세종특별자치시  도담동(3611052000),"33,448","33,448",279,278,288,357,406,422,468,487,485,539,511,518,497,553,524,466,399,437,384,353,342,358,297,351,350,383,434,436,498,587,548,524,512,538,474,506,555,512,658,692,767,732,800,689,670,675,675,724,686,660,672,618,505,502,424,401,360,320,269,333,327,311,305,243,259,196,215,197,133,129,111,112,111,110,96,82,82,66,66,75,83,53,55,51,45,26,39,34,33,23,21,27,12,5,5,6,5,5,4,2,0
세종특별자치시  해밀동(3611052500),"8,643","8,643",118,144,132,207,200,186,166,201,163,160,165,147,149,139,118,85,96,54,67,48,69,71,55,47,49,40,45,55,77,86,118,118,167,176,189,182,195,198,199,254,257,261,242,204,197,185,149,163,137,148,142,124,106,113,92,73,63,63,57,59,57,70,50,56,40,29,31,43,28,20,21,25,24,17,18,17,13,12,12,11,11,4,13,11,7,8,2,8,6,2,1,1,1,3,0,0,0,1,0,0,0
세종특별자치시  아름동(3611053000),"23,251","23,251",192,195,233,270,294,323,370,394,380,461,505,525,474,473,481,418,408,421,358,305,294,279,215,161,123,134,134,149,160,185,207,209,247,258,273,335,321,390,412,496,509,614,626,558,599,601,584,602,574,510,483,423,389,357,289,233,191,213,181,175,220,187,165,151,127,116,125,113,88,84,75,62,78,57,54,47,33,25,31,32,32,19,16,26,18,20,15,17,6,6,4,4,8,4,3,2,2,2,1,1,2
세종특별자치시  종촌동(3611054000),"28,936","28,936",299,300,352,380,407,463,507,499,508,467,502,500,470,465,482,438,388,358,373,318,264,274,236,210,164,206,242,252,239,353,390,340,408,379,456,507,521,535,610,707,718,727,732,604,662,581,578,564,583,522,572,451,405,409,317,327,291,271,215,278,268,292,268,238,215,214,201,153,140,146,117,104,120,105,83,74,57,58,51,55,53,45,51,33,23,37,27,29,28,26,15,9,2,11,9,1,2,0,0,0,0
세종특별자치시  고운동(3611055000),"34,154","34,154",358,347,452,490,598,627,664,677,613,723,640,632,562,573,578,487,447,423,417,293,303,311,229,203,221,188,195,239,244,323,354,364,434,472,479,583,642,719,786,930,985,895,926,813,792,718,735,695,697,565,548,505,431,408,355,281,297,323,240,329,312,311,301,283,253,288,258,237,147,201,125,129,108,111,109,103,47,66,49,68,41,37,29,19,27,26,22,17,10,13,13,7,13,2,6,5,2,0,0,0,1
세종특별자치시  소담동(3611055500),"20,576","20,576",283,257,300,346,346,378,411,384,348,356,324,338,297,288,265,238,223,194,185,165,169,181,156,168,155,140,153,170,221,233,274,284,349,418,418,444,427,418,529,575,542,508,553,449,453,384,361,362,359,318,300,291,262,244,237,228,199,242,183,195,228,178,197,168,172,110,133,123,90,79,65,62,69,50,44,46,30,29,30,31,24,18,14,9,17,15,12,12,8,4,5,2,5,8,2,4,0,1,1,2,1
세종특별자치시  반곡동(3611055600),"21,817","21,817",349,400,421,434,409,423,399,359,314,304,252,283,223,235,208,200,120,139,133,131,147,161,150,157,212,239,309,344,375,473,540,561,603,627,596,618,563,592,661,640,625,527,501,408,341,342,296,317,285,246,269,250,241,234,230,239,180,177,149,143,162,147,139,109,103,94,91,63,66,60,46,35,45,41,28,21,23,27,21,26,14,10,14,6,11,15,15,20,11,12,9,7,4,5,3,4,0,0,2,2,2
세종특별자치시  보람동(3611056000),"18,879","18,879",182,206,233,262,259,296,346,310,322,398,359,309,322,289,268,257,219,203,204,172,200,176,179,182,180,166,151,188,172,200,211,240,269,272,305,323,313,372,409,474,469,477,460,402,391,355,362,347,368,328,330,295,274,294,222,219,194,244,173,206,203,198,186,178,140,114,142,101,77,76,70,60,82,59,49,45,25,25,29,28,30,15,16,19,11,12,14,12,10,6,10,7,6,5,5,2,1,1,0,1,1
세종특별자치시  대평동(3611057000),"11,279","11,279",141,149,180,162,154,175,181,158,159,145,141,120,122,108,122,100,119,89,101,98,103,133,137,131,109,126,135,130,143,166,163,163,171,208,221,232,224,220,256,262,289,259,245,180,161,172,171,200,192,209,186,183,192,199,183,160,158,152,122,167,152,123,130,104,103,92,73,60,51,46,38,47,27,33,29,25,17,15,11,23,9,15,17,9,11,16,13,11,11,11,4,4,5,2,2,2,0,0,0,1,0
세종특별자치시  다정동(3611058000),"28,205","28,205",357,365,372,421,475,494,544,514,517,570,492,465,408,398,395,367,300,316,283,254,192,242,232,211,198,261,217,268,274,324,418,439,462,480,533,568,646,599,683,794,828,758,708,629,608,555,507,516,489,430,451,422,368,338,291,289,254,287,220,241,256,249,203,207,217,181,171,164,111,118,76,96,70,66,59,67,39,27,37,32,31,21,21,19,20,17,13,20,15,4,7,6,6,9,7,5,0,0,1,0,0
